Year 1,Make 1,Vehicle Type,Engine Cylinders,Engine Size,Drive Type,Core Based Statistical Area Type,Gender Code,Person Exact Age,Home Purchase Price,Home Fireplaces,Home Bath,Home Land Depth Footage,Home Land Front Footage,Home Improvement Value,Home Year Built,Home Base Square Footage,Home Total Value,Estimated Current Home Value,BehaviorBank: Interest in Automotive,MOR Bank Male Sports Magazine,MOR Bank Do-It-Yourselfers,Book Reader,BehaviorBank: Interest in Gourmet Cooking,BehaviorBank: Interest in Sports,BehaviorBank: Interest in the Outdoors,BehaviorBank: Pet Enthusiast,Est. Household Income V5,Person Marital Status,Number of Persons in LU,Number of Adults in LU,BehaviorBank: Interest in Foreign Travel,BehaviorBank: Presence of Premium Credit Card,CAPE: Age: Pop: Median Age,MOR Bank Do-It-Yourselfers,BehaviorBank: Interest in Reading,BehaviorBank: Interest in Travel,BehaviorBank: Cat Enthusiast,Home Total Rooms,BehaviorBank: Computer Owner,BehaviorBank: Investor,BehaviorBank: Interest in Domestic Travel,Auto In The Market: Used,Auto In The Market: New,CAPE: Inc: HH: Median Family Household Income,BehaviorBank: Cruise Enthusiasts,BehaviorBank: Contributes to Charities,Home Swimming Pool Indicator
2013.0,2.0,2.0,6.0,3.7,2.0,1.0,2.0,75.0,0.0,1.0,30.0,124.0,80.0,277.0,1981.0,24.0,327.0,386744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,77635.0,0.0,0.0,0.0
2013.0,1.0,1.0,6.0,3.6,1.0,1.0,2.0,22.0,78.0,0.0,0.0,0.0,0.0,22.0,1998.0,22.0,30.0,72759.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,6.0,0.0,0.0,4200.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,71785.0,0.0,0.0,0.0
2013.0,1.0,2.0,6.0,3.5,2.0,1.0,1.0,52.0,0.0,0.0,30.0,435.0,50.0,343.0,1992.0,32.0,526.0,673377.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,4800.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,125207.0,0.0,0.0,1.0
2013.0,1.0,2.0,6.0,3.6,1.0,1.0,1.0,61.0,89.0,0.0,20.0,0.0,0.0,95.0,1994.0,14.0,108.0,134849.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,3100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,48227.0,0.0,1.0,1.0
2013.0,1.0,1.0,4.0,1.8,1.0,1.0,1.0,55.0,89.0,0.0,20.0,200.0,110.0,102.0,1994.0,13.0,119.0,146820.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,6.0,6.0,0.0,0.0,4100.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,59034.0,0.0,0.0,0.0
1999.0,1.0,3.0,8.0,5.4,1.0,1.0,1.0,56.0,50.0,1.0,20.0,0.0,0.0,97.0,1982.0,16.0,114.0,119757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,3.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,4.0,60050.0,0.0,0.0,0.0
2013.0,1.0,3.0,6.0,4.3,2.0,1.0,1.0,64.0,30.0,0.0,10.0,0.0,0.0,5.0,1960.0,6.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,134200.0,0.0,0.0,0.0
2012.0,0.0,1.0,4.0,1.8,1.0,1.0,1.0,48.0,138.0,0.0,20.0,0.0,0.0,110.0,1974.0,20.0,163.0,206276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,5.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,97760.0,0.0,0.0,0.0
2013.0,1.0,1.0,4.0,2.4,1.0,1.0,1.0,63.0,0.0,0.0,20.0,0.0,0.0,83.0,1998.0,0.0,104.0,131824.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,6000.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,3.0,55124.0,1.0,1.0,0.0
2013.0,1.0,1.0,4.0,1.8,1.0,1.0,2.0,40.0,0.0,0.0,20.0,0.0,0.0,86.0,1969.0,21.0,103.0,130399.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,4.0,37972.0,0.0,0.0,0.0
2000.0,1.0,3.0,8.0,5.3,2.0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,43.0,1960.0,15.0,53.0,124266.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,0.0,0.0,4500.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,3.0,65277.0,0.0,1.0,0.0
2014.0,1.0,1.0,4.0,1.8,1.0,1.0,2.0,45.0,174.0,0.0,20.0,0.0,0.0,96.0,2005.0,0.0,126.0,177675.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,7.0,2.0,0.0,0.0,2900.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,119928.0,0.0,0.0,0.0
2010.0,1.0,1.0,6.0,3.5,1.0,1.0,2.0,28.0,0.0,0.0,10.0,0.0,0.0,99.0,1977.0,6.0,124.0,169221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,2.0,80434.0,0.0,0.0,0.0
2012.0,1.0,1.0,4.0,1.8,1.0,1.0,1.0,51.0,429.0,1.0,40.0,0.0,0.0,280.0,2000.0,15.0,444.0,504730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,3.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,1.0,127235.0,0.0,0.0,1.0
2014.0,1.0,2.0,4.0,1.6,2.0,1.0,1.0,57.0,170.0,0.0,20.0,0.0,0.0,225.0,1986.0,0.0,304.0,376189.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,1.0,5.0,5.0,0.0,0.0,4200.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,125867.0,0.0,1.0,1.0
2012.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,39.0,910.0,1.0,30.0,117.0,65.0,0.0,1954.0,16.0,1.0,720986.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,3.0,2.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,8.0,1.0,124812.0,0.0,0.0,0.0
2002.0,0.0,2.0,6.0,3.2,1.0,1.0,1.0,59.0,0.0,1.0,20.0,141.0,76.0,140.0,1995.0,18.0,160.0,180727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,1.0,80429.0,0.0,0.0,0.0
2007.0,1.0,2.0,8.0,5.3,1.0,1.0,1.0,27.0,127.0,1.0,20.0,122.0,65.0,114.0,1979.0,0.0,144.0,165702.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,0.0,0.0,4200.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,60544.0,0.0,1.0,0.0
2003.0,0.0,1.0,8.0,4.6,1.0,1.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,29.0,1997.0,0.0,29.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3900.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,7.0,83552.0,0.0,1.0,0.0
2006.0,1.0,1.0,6.0,3.5,1.0,1.0,1.0,53.0,91.0,1.0,20.0,115.0,70.0,68.0,1971.0,0.0,93.0,111072.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,3.0,1.0,0.0,3600.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,71570.0,1.0,1.0,0.0
